Designator,Mid X,Mid Y,Layer,Rotation
C1,179.097611,-86.387500,top,25.000000
C2,181.251407,-91.600584,top,15.000000
C4,172.064324,-68.408936,top,-125.000000
C5,166.250000,-65.100000,top,65.000000
C6,146.649023,-61.672372,top,-85.000000
C7,146.950000,-64.650000,top,95.000000
C8,159.950000,-62.800000,top,-105.000000
C9,163.172198,-63.833357,top,-110.000000
C10,169.150000,-66.850000,top,60.000000
C11,129.600000,-75.700000,top,-50.000000
C12,125.300000,-70.550000,top,130.000000
D1,176.550000,-73.400000,top,45.000000
D2,174.200000,-71.150000,top,50.000000
D_I_1,121.200000,-75.850000,top,140.000000
D_I_2,117.450000,-81.200000,top,150.000000
D_I_3,119.200000,-78.450000,top,145.000000
D_I_4,115.900000,-84.100000,top,155.000000
D_I_5,114.650000,-87.150000,top,160.000000
F1,181.800000,-63.500000,top,-90.000000
LS1,133.800000,-65.250000,top,25.000000
LS2,136.873866,-63.963008,top,20.000000
LS3,140.056050,-62.986638,top,15.000000
LS4,143.345993,-62.270651,top,10.000000
R1,112.850000,-90.050000,top,-15.000000
R1_1,187.950000,-93.300000,top,10.000000
R1_2,181.736163,-94.482467,top,-170.000000
R1_3,180.700000,-82.300000,top,-150.000000
R1_4,179.100000,-79.650000,top,35.000000
R1_5,179.450000,-75.300000,top,40.000000
R1_6,124.950000,-74.900000,top,-45.000000
R1_7,127.950000,-68.500000,top,125.000000
R1_8,122.816633,-72.616640,top,-45.000000
R1_9,129.650000,-70.950000,top,125.000000
R1_10,130.700000,-66.650000,top,-60.000000
R1_11,132.300000,-69.250000,top,-60.000000
R1_12,181.563387,-77.900082,top,35.000000
R1_13,183.300000,-80.800000,top,-150.000000
R2,156.150000,-65.050000,top,-100.000000
R2_1,112.050000,-93.300000,top,-10.000000
R2_2,115.050000,-93.850000,top,-10.000000
R3,156.700000,-62.100000,top,-100.000000
R4,153.375821,-61.658599,top,-95.000000
R5,153.100000,-64.650000,top,-95.000000
R6,115.750000,-90.800000,top,-15.000000
U1,145.600000,-115.800000,top,0.000000
U2,154.400000,-115.800000,top,0.000000
USB1,179.630000,-57.907500,top,180.000000
VR1,150.016780,-61.615676,top,0.000000
Y2,184.800000,-87.400000,top,20.000000